event_event/id_event,event_event/event,event_event/kategori,event_event/tanggal,event_event/jam,event_event/tempat
2027, SIPA GOES TO CAMPUS ,Musik,05 Sep 2018 - 31 Mar 2020,00:00 - 00:00,Auditorium Universitas Sebelas Maret
2026, CHEMICAL ENGINEERING PAPER COMPETITION 2018 ,Lain-lain,05 Agu 2018 - 30 Sep 2018,00:00 - 00:00,universitas negeri semarang
2025, Learning Exhibition and Competition ,Seminar,18  - 11 Okt 2018,09:00 - 18:00,"Anggrek Campus BINUS University, Jl. Kebon Jeruk Raya No. 27. Kebon Jeruk Jakarta Barat "
2024, ENGLISH FESTIVAL IV ,Lain-lain,14  - 21 Okt 2018,07:00 - 14:00,Sekolah Vokasi IPB
2023, Talkshow Nasional ,Seminar,29  - 29 Sep 2018,07:30 - 13:00,Lt.9 sasana kridangga kampus unisbank kendeng
2022, SEMINAR KARIR 2018 ,Seminar,15  - 15 Agu 2018,08:30 - 12:00,Aula Lt. 4 Kampus STIE EKUITAS
2021, Kuliah Intensif Ekonomi Islam Batch 21 ,Lain-lain,06 Nov 2018 - 01 Des 2018,09:00 - 03:00,"Fakultas Ekonomi dan Bisnis, Universitas Indonesia"
2020, Sparkling Ecora 2018 ,Pensi,30  - 30 Sep 2018,09:00 - 12:00,Aula Skodam V Brawijaya
2019, Festival Film Sosiologi ,Seminar,11 Agu 2018 - 24 Nov 2018,10:00 - 17:00,Universitas Negeri Jakarta
2018, Seminar Nasional 2018 ,Seminar,21  - 21 Sep 2018,07:00 - 15:00,"Graha Sawunggaling (Jalan Jimerto 10, Ketabang, Genteng, Surabaya)"
2017, Visit Dentistry 2018 ,Seminar,15  - 15 Sep 2018,08:00 - 15:00,"Universitas Trisakti Kampus B , Grogol petamburan, Jakarta Barat "
2016, O Sapientia ,Musik,25  - 25 Agu 2018,16:00 - 18:00,"Usmar Ismail Hall (Jln. H.R. Rasuna Said Blok C No.22, Kuningan)"
2015, Fisip Berbakti ,Lain-lain,10  - 12 Agu 2018,07:00 - 15:00,Desa Karang Tengah Bogor
2014, Sharing For Caring ,Lain-lain,11  - 11 Agu 2018,07:00 - 16:00,"Panti asuhan putra utama 1 klender, jakarta timur"
2013," Talkshow Inspiratif ""Pijar Sukses"" Menebar Makna 'Dahulu Kala' Langitkan Motivasi Sukses Mengantri ",Seminar,04  - 04 Sep 2018,08:00 - 13:00,Auditorium Universitas Islam Negri Sunan Ampel Surabaya
2012, Seminar Nasional Kimia ,Seminar,22  - 22 Sep 2018,12:00 - 03:00,UIN SUNAN KALIJAGA
2011, Collutrium Competition ( lomba essay tiungkat nasional) ,Lain-lain,10 Jul 2018 - 13 Agu 2018,00:01 - 23:59,Aula lt 5 gd. C  FMIPA UNS
2010, Collutrium Competition ( Losartan manual) ,Lain-lain,10 Jul 2018 - 09 Sep 2018,07:00 - 23:00,Aula lt 5 gd. C  FMIPA UNS
2009, Collutrium Competition ( Losartan Digital) ,Lain-lain,10 Jul 2018 - 13 Agu 2018,00:00 - 23:58,Aula lt 5 gd. C  FMIPA UNS
2008, AGRIDATION 2018 ,Lain-lain,18 Jul 2018 - 23 Sep 2018,07:00 - 16:00,Institut Pertanian Bogor
2007, Herbal Cosmetic Competition ,Expo,01 Jul 2018 - 06 Okt 2018,07:00 - 13:55,Universitas Sanata Dharma
2006, (OPEN RECRUITMENT) Dana Cita Campus Ambassador 2.0 ,Lain-lain,07  - 27 Agu 2018,00:00 - 12:00,Indonesia
2005, BIOLOGY LEARNING FESTIVAL ,Expo,11  - 16 Nov 2018,07:00 - 16:00,UNIVERSITAS SILIWANGI TASIKMALAYA
2004, BIOLOGY LEARNING FESTIVAL ,Expo,11  - 16 Nov 2018,07:00 - 16:00,UNIVERSITAS SILIWANGI TASIKMALAYA
2003, OMN (Olimpiade Manajemen Nasional) ,Lain-lain,12  - 14 Okt 2018,07:00 - 16:00,Gedung FE Universitas Negeri Malang
2002, International Student Conference on Asia Africa Studies (ISCAAS) 2018 ,Lain-lain,03  - 04 Nov 2018,13:00 - 20:00,Hotel Prama Grand Preanger
2001, BIOSPHERE #1 ,Lain-lain,18 Agu 2018 - 20 Okt 2018,08:00 - 00:00,Fakultas Biologi UGM
2000, Agriventure 2018 ,Seminar,22  - 23 Sep 2018,09:00 - 15:00,"Jl. Jalur Sutera Bar. No.Alam Sutera, Panunggangan Tim., Pinang, Kota Tangerang, Banten 15143"
1999, Full Strategi Workshop  Facebook Marketing + Chatbot ,Seminar,29  - 29 Agu 2018,13:00 - 17:00,"Jl. Tanjung Duren Utara III E No.334 A, Tanjung Duren Utara, Grogol - Jakarta Barat, DKI Jakarta (11"
1998, Administration Festival 2018 ,Lain-lain,03  - 04 Nov 2018,08:00 - 17:00,"Gd. M Fakultas Ilmu Administrasi, Universitas Indonesia"
1997, Event Of Agroindustrial Technology (ENOTECH) 2018 ,Lain-lain,24 Jul 2018 - 19 Agu 2018,00:00 - 00:00,UNIVERSITAS JEMBER
1996, Economic Solutions 2018 ,Lain-lain,03  - 06 Okt 2018,07:00 - 17:20,Fakultas Ekonomi dan Bisnis ULM Banjarmasin
1995, LKTI Nasional LOGIKA UI 2019 ,Lain-lain,05  - 27 Agu 2018,00:00 - 00:00,FMIPA UI
1994, MIC dan MTC LOGIKA UI 2019 ,Lain-lain,05 Agu 2018 - 16 Sep 2019,00:00 - 00:00,FMIPA UI
1989, Orientasi Diponegoro Muda ,Lain-lain,12  - 12 Agu 2018,06:00 - 11:00,Stadion Universitas Diponegoro Semarang
1988, Lomba Cerpen dan Fotografi Pekan Raya AKK 6 FKM UI ,Lain-lain,01  - 31 Agu 2018,00:00 - 00:00,Universitas Indonesia
1987, GEBYAR SEKARTADJI 2018 ,Lain-lain,17 Sep 2018 - 11 Nov 2018,00:00 - 00:00,Parkir Gedung i7 Fakultas Ilmu Sosial dan Hukum Universitas Negeri Surabaya
1986, Sebelas Maret Statistics Writing Competition 2018 ,Lain-lain,19  - 20 Okt 2018,08:00 - 21:00,Universitas Sebelas Maret
1985, Sebelas Maret Statistics Infographic Competition 2018 ,Lain-lain,19  - 20 Okt 2018,08:00 - 21:00,Universitas Sebelas Maret
1984, Sebelas Maret Statistics Olympiad 2018 ,Lain-lain,19  - 20 Okt 2018,08:00 - 21:00,Universitas Sebelas Maret
1983, Pameran Pendidikan Tinggi Taiwan 2018 ,Lain-lain,10  - 13 Agu 2018,09:00 - 18:00,JABABEKA-JAKARTA-MEDAN
1982, ðŸ“ NUCLEON PAPER COMPETITIONðŸ“  ,Lain-lain,08 Agu 2018 - 28 Okt 2018,00:00 - 00:00,Universitas negeri malang
1981, Mathside Futsal Competition ,Sport,25  - 26 Agu 2018,07:00 - 18:00,GOR Budi Langgeng Boyolali
1980, UFONITY PHOTO & VIDEO COMPETITION 2018 ,Lain-lain,01 Agu 2018 - 09 Sep 2018,00:00 - 23:55,Universitas Udayana
1979, Padjadjaran Debate Championship 2018 ,Lain-lain,29 Sep 2018 - 01 Okt 2018,10:00 - 05:00,"Fakultas Ekonomi dan Bisnis, Universitas Padjadjaran"
1978, Festival Elektronika Instrumentasi ,Seminar,25  - 25 Agu 2018,07:30 - 01:05,Auditorium FMIPA UGM
1977, Kompetisi Akuntansi Airlangga 2018 ,Lain-lain,22  - 23 Sep 2018,07:00 - 17:00,"Graha Sawunggaling (Jalan Jimerto 10, Ketabang, Genteng, Surabaya)"
1976, TASA Global Village ,Pensi,11  - 11 Agu 2018,08:30 - 16:00,"Kolam Renang TASA Jl. Salak Pd. Benda, Pamulang."
1975, IPB ARCHERY OPEN 2018 ,Sport,07  - 11 Sep 2018,18:57 - 00:00,IPB DRAMAGA 
1974, UNAC  2018 ,Lain-lain,05  - 07 Sep 2018,07:00 - 17:00,"Kampus 1 UKRIDA Auditorium Ged. E Lt 7, Jl. Tanjung Barat Raya No.4  Jakarta Barat 11470"
1973, Lomba Cerdas Cermat  ,Seminar,16 Jul 2018 - 13 Okt 2018,07:00 - 16:00,Fakultas Kedokteran Universitas Sebelas Maret
1972, Kaidah (Kajian Islam Nan Indah) ,Seminar,25  - 25 Agu 2018,07:00 - 12:00,"Auditorium O5 lantai 3, Fakultas Ilmu Pendidikan, Universitas Negeri Surabaya "
1971, International Development Student Conference 2018  ,Seminar,29 Okt 2018 - 01 Nov 2018,08:00 - 14:00,Universitas Airlangga
1969, Pharmaceutical Seminar 86 ,Lain-lain,04  - 05 Agu 2018,07:30 - 17:00,Gedung Rumpun Ilmu Kesehatan Universitas Indonesia
1968, Pharmaceutical Seminar 86 ,Lain-lain,04  - 05 Agu 2018,07:30 - 17:00,Gedung Rumpun Ilmu Kesehatan Universitas Indonesia
1967, Pharmaceutical Seminar 86 ,Seminar,11  - 11 Agu 2018,07:30 - 17:00,Gedung Auditorium Vokasi Universitas Indonesia
1966, LEN Mahasiswa 2018 (Lomba Essai Nasional) ,Lain-lain,13  - 13 Okt 2018,07:00 - 16:00,"Gedung O5 Fakultas Ilmu Pendidikan, Unesa Kampus Lidah Wetan"
1964, 10th Annual Geography Days ,Seminar,10  - 13 Okt 2018,08:00 - 17:00,Universitas Indonesia
1963, Gracheta 2018 ,Pensi,04 Agu 2018 - 30 Nov -1,15:30 - 22:00,"Epicentrum elite club, kuningan"
1962, Bulan Bahasa dan Sastra 2018 ,Lain-lain,24 Sep 2018 - 29 Okt 2018,00:00 - 00:00,Universitas Negeri Malang
1961, BERAKSI 2018 ,Lain-lain,11  - 18 Agu 2018,08:00 - 17:00,"Kampung Mulyasari, kecamatan Sukamakmur, kabupaten Bogor, Jawa barat"
1960, ðŸŽ‰RADIO ANNOUNCING COMPETITIONðŸŽ‰ ,Lain-lain,30 Nov -1 - 22 Sep 2018,00:00 - 00:00,"UPN ""Veteran"" Jakarta"
1958, DIPONEGORO LAW FAIR 2018 ,Lain-lain,26  - 28 Okt 2018,07:00 - 12:00,Fakultas Hukum Universitas Diponegoro Semarang
1957, Bidikmisi Essay Competition ,Lain-lain,28  - 30 Sep 2018,13:00 - 15:30,Universitas Sebelas Maret
1951, ARKAMAYA 2018: Mengedukasi Masyarakat Mengenai Kesehatan Mental Melalui Pagelaran Tari  ,Lain-lain,02  - 02 Agu 2018,19:00 - 21:00,"Graha Bakti Budaya, Taman Ismail Marzuki"
1950, Nanny McPhee The Musical ,Musik,08  - 09 Agu 2018,19:00 - 21:00,"Prof. Dr. Djajusman Auditorium & Performance Hall, LSPR"
1949, IPB National Cup ,Sport,17  - 23 Sep 2018,08:00 - 20:00,Institut Pertanian Bogor
1948, ESFEST2018 ,Lain-lain,24  - 26 Agu 2018,09:00 - 22:00,Universitas Esa Unggul Kampus II Citra Raya Tangerang
1947, ORTHOFEST 2018 ,Musik,20  - 20 Okt 2018,04:00 - 23:00,Halaman Lokananta
1946, STOCK ZONE ,Lain-lain,26  - 27 Sep 2018,07:00 - 17:00,STIE Indonesia Banking School
1945, EXPLOSION 2018 ,Seminar,01  - 01 Sep 2018,08:00 - 17:00,"Gedung Prof. Soedarto, Undip, Tembalang"
1944, LEON (Lomba Esai Nasional) 2018 ,Lain-lain,19  - 21 Okt 2018,00:00 - 00:00,FISIP Universitas Brawijaya Malang
1943, Soil Festival ,Lain-lain,17 Sep 2018 - 14 Okt 2018,08:15 - 14:30,"Ruang Sidang Departemen Ilmu Tanah dan Sumberdaya Lahan, Kampus Institut Pertanian Bogor"
1941, Soil Festival ,Lain-lain,23 Agu 2018 - 14 Okt 2018,08:00 - 14:50,"Ruang Sidang Departemen Ilmu Tanah dan Sumberdaya Lahan, Kampus Institut Pertanian Bogor"
1940, SCIENCE SAURUS 2018 ,Lain-lain,29  - 30 Sep 2018,08:00 - 22:00,MIPA CENTER  Universitas Brawijaya
1934, SCIENCE SAURUS 2018 ,Lain-lain,29  - 30 Sep 2018,08:00 - 22:00,MIPA CENTER  Universitas Brawijaya
1933," PHYSPHORIA 2018 ""Together in Harmony"" ",Musik,06  - 06 Okt 2018,19:00 - 22:00,"PG De Tjoelomadoe, Colomadu, Karanganyar"
1932, Kejuaraan nasional karate open tournament unsada cup v ,Sport,10  - 12 Agu 2018,08:00 - 20:00,Univeristas darma persada
1931, Sertifikasi Profesi Public Relations (Humas) Di UMN ,Lain-lain,06  - 13 Okt 2018,08:00 - 17:00,Universitas Multimedia Nusantara
1930," Bakti Negeri IYOIN X PPI Wuhan,Tiongkok ",Lain-lain,04  - 04 Agu 2018,13:00 - 15:30,"Digital Innovation Lounge, Pancoran Mas, DEPOK"
1929," ""PREKUEL"" Pameran Studio Dasar Mahasiswa ITENAS Jurusan Desain Produk'17 ",Expo,04  - 07 Sep 2018,10:00 - 18:00,Student Centre (S.C) Institut Teknologi Nasional (ITENAS) Bandung
1928, IPB NATIONAL ESSAY COMPETITION ,Lain-lain,06 Jun 2018 - 31 Jul 2018,10:00 - 23:59,Sekolah vokasi ipb
1927, Henryâ€™s Law Theatre ,Lain-lain,29  - 29 Jul 2018,18:30 - 19:30,Prof . DR Djajusman auditorium & hall - LSPR JAKARTA
1926, Perlombaan Debat Nasional ,Lain-lain,05  - 07 Sep 2018,07:00 - 17:00,Gedung Dekanat lt.3 FIP UNNES
1925, TBIG CreatiON ,Lain-lain,25 Jun 2018 - 08 Nov 2018,00:00 - 00:00,PT. Tower Bersama (online)
1924, Chinese Paradise 6 ,Lain-lain,27  - 27 Okt 2018,07:00 - 21:00,Gedung FIB A UNIVERSITAS BRAWIJAYA MALANG
1923, 8th Sharia Economics Triumph Activities (8th SETiA)  ,Lain-lain,23  - 25 Nov 2018,07:30 - 16:30,Ruang Sidang 2 FEB UNS
1921, Jambore Bakti Sosial FKG UI 2018 ,Lain-lain,03  - 05 Agu 2018,08:00 - 16:00,"Desa Setu, Kecamatan Jasinga"
1920, LKTIN FIP On October (FIPER) ,Lain-lain,18  - 19 Okt 2018,14:00 - 20:00,Fakultas Ilmu Pendidikan UNESA
1919, Seminar Kesehatan Nasional ,Seminar,28  - 28 Jul 2018,07:00 - 15:00,Gedung Auditorium UNPAD Lantai 6 Jl. Eyckman No. 38
1918, Marketpreneur #5 ,Seminar,18  - 20 Okt 2018,00:00 - 06:00,Universitas Trilogi
1917, International Student Conference on Asia Africa Studies (ISCAAS) 2018 ,Lain-lain,13 Jun 2018 - 13 Agu 2018,00:00 - 00:00,Hotel Prama Grand Preanger
1915, OMN (Olimpiade Manajemen Nasional) ,Lain-lain,12  - 14 Okt 2018,08:00 - 16:00,Fakultas Ekonomi Universitas Negeri Malang
1907, Seminar Nasional Matematika XII 2018 | Jurusan Matematika FMIPA Universitas Negeri Semarang ,Seminar,20  - 20 Okt 2018,07:30 - 16:00,"Aula Dekanat FMIPA Universitas Negeri Semarang, Gedung D12 Lantai 3"
1906, UMN Membuka Kelas Bahasa Jepang Batch II 2018 ,Lain-lain,27 Jul 2018 - 27 Okt 2018,17:15 - 18:45,Universitas Multimedia Nusantara
1905, ECA Batch II ,Lain-lain,14  - 16 Sep 2018,12:00 - 15:30,Fakultas Peternakan Unsoed
1904, Ratu Sekartaji Theatre ,Lain-lain,02  - 02 Agu 2018,18:30 - 19:30,Prof. Dr. Djajusman Auditorium & Performance Hall LSPR Campus B Jakarta
1903, Olimpiade Ekonomi Nasional ,Lain-lain,16 Jul 2018 - 04 Nov 2018,00:00 - 21:00,Gedung Fakultas Ekonomi Universitas Negeri Malang
1902, Orientasi Diponegoro Muda Sekolah Vokasi Universitas Diponegoro ,Lain-lain,07  - 11 Agu 2018,06:00 - 12:15,Parkiran atas Sekolah Vokasi Universitas Diponegoro
1901, NEO - NATIONAL ENGLISH OLYMPIAD 2018 ,Lain-lain,07  - 07 Okt 2018,07:00 - 16:00,UNS
1900, Majors Solidarity Games 2018 ,Sport,03  - 16 Sep 2018,16:00 - 22:00,Gor Futsal Internasional Unesa
1899, Jakarta Model United Nations 2018 ,Lain-lain,09  - 12 Agu 2018,12:00 - 19:00,Universitas Pertamina
1898, CHESPECTION (Chemical Engineering Scientific Paper Competition) ,Lain-lain,12  - 13 Okt 2018,09:00 - 17:00,Universitas Muhammadiyah Surakarta
1897, International Relations Championship (IRON) 2018 ,Lain-lain,14  - 18 Sep 2018,08:00 - 17:00,FISIP UIN Syarif Hidayatullah Jakarta
1896, One Day Design Training ,Lain-lain,27  - 27 Jul 2018,08:00 - 16:00,"Universitas Esa Unggul, Jakarta Barat"
1895, NATIONAL BUSINESS CASE COMPETITION ,Lain-lain,20  - 21 Okt 2018,08:00 - 22:00,Universitas Airlangga 
1894, National Economic and Management Olympiad (NEMO) ,Seminar,28 Sep 2018 - 30 Jul 2018,08:00 - 18:00,Institut Pertanian Bogor
1893, Youth Adventure Day ,Lain-lain,05  - 07 Okt 2018,09:00 - 12:00,"Mangunan, Yogyakarta"
1891, Semarang Hallyu Festifal 2018 ,Lain-lain,25  - 25 Agu 2018,11:00 - 22:00,Gedung Prof. Soedarto Undip Semarang
1889, Seminar Nasional Kefarmasian Islam ,Seminar,09  - 09 Agu 2018,07:00 - 15:00,Aula utama kampus UNISBA (Gedung Hj. Kartimikridoharsojo)  
1888, Sub Start Up Parade ,Lain-lain,04 Agu 2018 - 01 Sep 2018,10:00 - 10:00,Satu Atap Co-work & Food St.
1887, Sub Start Up Parade ,Lain-lain,04 Agu 2018 - 01 Sep 2018,10:00 - 10:00,Satu Atap Co-work & Food St.
1886, Sub Start Up Parade ,Lain-lain,04 Agu 2018 - 01 Sep 2018,10:00 - 10:00,Satu Atap Co-work & Food St
1885, Seminar Public Relations Digital Zaman Now ,Seminar,28  - 28 Jul 2018,13:00 - 16:00,"Qubicle Center, Senopati 79 Jakarta Selatan"
1884, Information Technology Creative Competition (ITCC) 2018 ,Lain-lain,01  - 02 Nov 2018,08:00 - 16:00,"Kampus Teknologi Informasi, Fakultas Teknik, Universitas Udayana, Bukit Jimbaran - Bali"
1883, GALAKSI (Gelaran Aksi Abid dan Silaturahmi Keluarga FPPI) 2018 ,Lain-lain,28  - 29 Jul 2018,08:00 - 16:00,FKIP Universitas Lampung
1882, Pesta Karya Mahasiswa ,Lain-lain,19  - 21 Okt 2018,08:00 - 16:00,Universitas Bengkulu
1881, POSTER TGPE 4 (The Great Population Event) ,Lain-lain,21  - 21 Okt 2018,07:00 - 17:00,Gedung I6 Fakultas Ilmu Sosial dan Hukum Universitas Negeri Surabaya
1880, PIBT XXIV ,Lain-lain,22 Sep 2018 - 04 Nov 2018,07:00 - 17:00,SEMARANG
1878," JEMBER LINE TRACER VIII (JLT VIII) ""Infinity Race"" ",Lain-lain,03  - 04 Nov 2018,07:00 - 21:00,"Gedung Soetardjo Universitas Jember, Jawa Timur"
1877, UI CAREER & SCHOLARSHIP EXPO XXVI 2018 In Collaboration With NAMA Foundation ,Expo,20  - 22 Sep 2018,09:00 - 17:00,"Balairung â€“ UI, Kampus UI Depok"
1876, ACTIVE(Accounting Society In Versality) 2018 ,Lain-lain,03  - 05 Nov 2018,08:00 - 17:00,HOTEL LORIN SURAKARTA
1875, Lomba Karya Tulis Ilmiah Nasional N-compASE  ,Lain-lain,11 Jul 2018 - 25 Nov 2018,07:00 - 15:00,FKIP Universitas Jember
1874, pameran seni rupa ,Pensi,13  - 15 Agu 2018,10:00 - 16:00,Galeri 2 B9 Fakultas Bahasa dan Seni Universitas Negeri Semarang
1872, DISTAFEST #4 2018  ,Pensi,01  - 01 Sep 2018,16:00 - 22:00,IAIN SURAKARTA
1871, Gelar Karya Mahasiswa Arsitektur ke-13 (GKMA) ,Expo,26  - 29 Jul 2018,10:00 - 21:00,Mall ciputra seraya pekanbaru
1867, GEBYAR MAHASISWA PENDIDIKAN EKSAKTA ,Expo,31 Jul 2018 - 03 Agu 2018,08:00 - 16:30,FKIP Universitas Lampung
1865, Seminar Nasional Kimia 2018 ,Seminar,09  - 10 Nov 2018,07:30 - 16:30,Gedung Pascasarjana FMIPA UGM
1864, LKTIN SPEAR MSC 2018 ,Lain-lain,12 Mei 2018 - 04 Nov 2018,07:00 - 14:00,Aula Gedung Rektorat Lantai 3 Universitas Jember
1863, SSC CUP  VIII 2018 ,Sport,01  - 02 Sep 2018,08:00 - 17:00,CENTRO FUTSAL STADIUM SALATIGA
1862, WORKSHOP DAY ,Seminar,01  - 01 Agu 2018,13:00 - 16:00,"GS FAME Institute of Business Jl. Pulo Mas Timur 3A Blok A No. 2 Kayu Putih, Jakarta Timur"
1861, ESFEST (Esa Unggul Festival) ,Lain-lain,24  - 26 Agu 2018,09:00 - 22:00,Kampus Universitas Esa Unggul Citra Raya
1860, National Data Science and Data Analytics Lustrum DTETI XI ,Lain-lain,29  - 29 Sep 2018,07:00 - 17:00,Fakultas Teknik Universitas Gadjah Mada
1859, Pelatihan Public Speaking & Public Relation  ,Lain-lain,28  - 28 Jul 2018,09:30 - 02:00,Unisbank Kendeng Ruang D6.1 Lt.6. Jl. Kendeng V Bendan Ngisor Sampangan Semarang
1858, Information System Case Competition ,Lain-lain,03  - 05 Okt 2018,07:00 - 18:00,fX Sudirman
1857, Makna Karya ,Seminar,25  - 25 Jul 2018,08:00 - 06:00,Universitas Negeri Jakarta
1856, Millennial Generation Makeover ,Seminar,28  - 28 Jul 2018,13:00 - 20:00,Blu plaza  bekasi mall 
1854, Olimpiade Kimia ,Lain-lain,15  - 20 Sep 2018,00:00 - 00:00,UIN SUNAN KALIJAGA
1853, Kerja Sosial FKG UI 2018 ,Lain-lain,21  - 28 Jul 2018,07:00 - 20:00," Desa Nangalili & Desa Kempo di Kab. Manggarai Barat,  Desa Ketang & Desa Nao di Kab. Manggarai"
1852, Brawijaya Movie Exhibition ,Lain-lain,15 Jul 2018 - 20 Agu 2018,00:00 - 23:55,Universitas Brawijaya
1851, BIOLOGY EDUCATION EXPO 4 ,Expo,23  - 25 Sep 2018,08:00 - 16:00,Universitas Islam Negeri Syarif Hidayatullah Jakarta 
1849, Physics Expo 2018 ,Lain-lain,15  - 16 Sep 2018,07:00 - 16:00,IPB Dramaga
1847, ALPRO 2018 ,Lain-lain,13 Jul 2018 - 30 Okt 2018,13:00 - 13:00,Universitas Airlangga
1846, Dana Cita Inspiring Forum: Exclusive Sharing Session with H.E. Ms. Judit Pach ,Lain-lain,25  - 25 Jul 2018,14:30 - 16:00,Menteng
1845, PUMUN SOCIAL PROJECT 2018 ,Lain-lain,12  - 12 Jul 2018,07:00 - 17:00,"Pulau Bitung, Muara Gombong District, Bekasi regency"
1844, Olimpiade Pendidikan Agama Islam (OLPAI XXIV) tingkat SMP/MTs dan SMA/MA se-Jatim ,Lain-lain,16 Jul 2018 - 16 Okt 2018,01:30 - 21:00,UIN Sunan Ampel Surabaya
1840, Lomba Karya Tulis Ilmiah Nasional Chemistry In Festival (Chem1st) 2018 ,Lain-lain,11  - 14 Okt 2018,20:00 - 12:00,"Fakultas MIPA Universitas Mataram, Lombok"
1839, INSTINCT II ,Lain-lain,19  - 21 Okt 2018,08:00 - 22:00,fakultas ekonomi dan bisnis universitas riau
1838, RADIOACTIVE 2018 ,Lain-lain,07  - 29 Sep 2018,00:00 - 00:00,Universitas Multimedia Nusantara
1837, Seminar Nasional Pendekatan Pencegahan Gangguan Penglihatan Akibat Kelainan Refraksi ,Seminar,14  - 14 Okt 2018,07:00 - 15:00,Aula Graha Husada STIKes Bakti Tunas Husada
1836, Call For Paper Seminar Nasional K3 ,Seminar,24  - 24 Nov 2018,07:00 - 19:00,Hotel Solo Paragon Surakarta
1835, LOMBA TARI KREASI TINGKAT SD/MI SE-JATIM 2018 ,Lain-lain,04  - 04 Agu 2018,07:00 - 18:00,Auditorium 05 FIP UNESA Lidah Wetan
1833, Seminar Nasional & Call For Paper ,Seminar,30 Sep 2018 - 01 Okt 2018,08:00 - 12:00,Aula A3 Universitas Negeri Malang
1830, Seminar Nasional Kewirausahaan 2018 ,Seminar,14  - 14 Jul 2018,07:30 - 16:30,Aula Utama Universitas Islam Bandung
1829, Pharmacovent Uhamka  ,Lain-lain,18  - 19 Jul 2018,08:00 - 06:00,Fakultas farmasi dan sains Uhamka 
1828, ECOFEST Vol. 3 ,Musik,29  - 29 Jul 2018,07:00 - 22:00,Lapangan Utama Universitas Siliwangi Tasikmalaya
1827, Pekan Jepang ITI ,Musik,15  - 15 Jul 2018,08:00 - 18:00,Institut Teknologi Indonesia Serpong
1816, JAP FUTSAL CUP ,Sport,31 Jul 2018 - 04 Agu 2018,00:00 - 00:00, Gor Futsal Internasional Universitas Negeri Surabaya (Lidah Wetan)
1815," Gebyar Seni ""Maha Kreasi"" 2018 ",Pensi,15  - 15 Jul 2018,13:00 - 22:30,Gedung Kesenian Miss TjihTjih Jakarta Pusat
1813, I Dare Going To Be An Influencer (#IDGF2018) ,Seminar,14  - 14 Jul 2018,09:00 - 13:00,"Aula Rektorat, Universitas Mercu Buana Meruya"
1812, Youth Debate Competition IV ,Lain-lain,29  - 22 Sep 2018,07:00 - 17:00,"Gedung I6  Fakultas FISH, Universitas Negeri Surabaya "
1811, Technology Euphoria 2018 ,Seminar,13  - 13 Okt 2018,08:00 - 03:05,Grand Atayasa Palembang
1810, Batik In Campus ,Lain-lain,14 Jul 2018 - 30 Agu 2018,10:00 - 00:00,"Semarang, Undip"
1809, Pesta Sains Nasional ,Lain-lain,24  - 25 Nov 2018,08:00 - 18:00,Institut Pertanian Bogor
1808, UNKRIS OPEN  2018 ,Sport,11  - 12 Agu 2018,07:30 - 17:00,Gor PrimaJaya 
1806," Anniversary UKM Musik Unitomo #5th ""Kreasi Tanpa Batas"" ",Musik,12  - 12 Jul 2018,15:00 - 22:30,Universitas Dr. Soetomo
1805, WORKSHOP PROGRAMING WITH CAKEPHP  ,Lain-lain,15  - 15 Jul 2018,08:00 - 16:30,AULA SABA KARYA KAMPUS STIE-STMIK INSAN PEMBANGUNAN 
1804, SIRTOE EXHIBITION ,Lain-lain,13  - 15 Jul 2018,09:00 - 22:00,"Gedung Oudetrap, Kawasan Kota Lama"
1802, MYC (Music Youngster Competition) 2018 ,Musik,26  - 26 Jul 2018,09:00 - 21:00,Hall 2 STIESIA Surabaya
1801, Makna Karya ,Lain-lain,25  - 25 Jul 2018,07:00 - 18:00,Universitas Negeri Jakarta
1800, Festival Sholawat Al-Banjari (FESBAN) se-Jawa Timur ,Lain-lain,12  - 13 Agu 2018,08:00 - 03:00,Auditorium Universitas Islam Negri Sunan Ampel Surabaya
1799, STBA LIA Bunka no Hi 2018 ,Lain-lain,28  - 28 Jul 2018,10:00 - 19:00,Pelantaran parkir STBA LIA
1798, Lomba Karya Tulis Nasional ,Lain-lain,14  - 15 Sep 2018,09:00 - 12:00,"Fakultas Farmasi, Universitas Pancasila"
1797, ðŸ“£ðŸ“£ *ANDALAS NATIONAL SOCIOLOGY DEBATE COMPETITION*ðŸ“£ðŸ“£ ,Lain-lain,19 Sep 2018 - 22 Jul 2018,08:00 - 15:00,Gedung jurusan sosiologi FISIP universitas andalas 
1796, ðŸ“¢ðŸ“¢ *ANDALAS SOCIAL ESSAY COMPETITION*ðŸ“¢ðŸ“¢ ,Lain-lain,18 Sep 2018 - 19 Agu 2018,08:00 - 13:00,Gedung jurusan sosiologi FISIP universitas andalas 
1795, Pameran Foto ,Lain-lain,16  - 21 Jul 2018,09:00 - 20:00,Universitas Nasional
1794, Olimpiade Matematika  ,Lain-lain,15 Sep 2018 - 15 Jul 2018,06:00 - 17:00,UIN Sunan Ampel Surabaya
1793, OPEN RECRUITMENT INOVATOR NUSANTARA REGIONAL LAMPUNG ,Lain-lain,05  - 17 Jul 2018,00:00 - 22:00,Online (Daring)
1792, Debating and Writing Competition ,Lain-lain,08  - 09 Sep 2018,07:00 - 16:00,"Ruang seminar GK 1 lantai 2 Fakultas Bahasa dan Seni, Universitas Negeri Yogyakarta"
